"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__shrinking","param_model__probability","param_model__kernel","param_model__gamma","param_model__coef0","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.198977947235107,0.0359565467225945,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","True","False","rbf","scale",1,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,33
"2",1,0.261533355712891,0.0878661210595466,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","False","True","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,35
"3",2,0.340335750579834,0.0775646699696189,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","True","True","rbf","scale",1,1,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 1, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,36
"4",3,0.871611976623535,0.179103516758246,0.0664733409881592,0.0235570429021625,"MinMaxScaler","KNNImputer","OneHotEncoder","True","True","rbf","auto",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.804469273743017,0.803370786516854,0.786516853932584,0.752808988764045,0.786516853932584,0.786736551377817,0.0186672079325663,17
"5",4,0.341923379898071,0.0642654282316825,0.0624101638793945,0.0171882751068234,"MinMaxScaler","KNNImputer","OneHotEncoder","True","False","rbf","scale",1,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.854748603351955,0.831460674157303,0.893258426966292,0.820224719101124,0.859550561797753,0.851848597074886,0.0252912687211505,3
"6",5,0.871919584274292,0.133730684151331,0.0638663291931152,0.0158046952128137,"StandardScaler","KNNImputer","OneHotEncoder","False","True","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.843575418994413,0.808988764044944,0.848314606741573,0.814606741573034,0.870786516853933,0.837254409641579,0.0227971442210102,10
"7",6,0.169431734085083,0.0435240795016039,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","True","True","rbf","scale",1,11,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,37
"8",7,0.309327840805054,0.0909294845307784,0.0654904842376709,0.0265187015297338,"MinMaxScaler","KNNImputer","OneHotEncoder","True","False","rbf","auto",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.804469273743017,0.803370786516854,0.786516853932584,0.752808988764045,0.786516853932584,0.786736551377817,0.0186672079325663,17
"9",8,0.355656147003174,0.103354488947861,0.0745554447174072,0.0243820680328533,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","rbf","scale",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.854748603351955,0.831460674157303,0.882022471910112,0.820224719101124,0.859550561797753,0.849601406063649,0.0217654806579548,6
"10",9,0.439349603652954,0.0784756626564709,0.122383117675781,0.0301411273755327,"MinMaxScaler","KNNImputer","OneHotEncoder","False","False","rbf","auto",1,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.804469273743017,0.803370786516854,0.786516853932584,0.752808988764045,0.786516853932584,0.786736551377817,0.0186672079325663,17
"11",10,0.309800577163696,0.0680849017165277,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","rbf","auto",1,31,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 31, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,38
"12",11,0.326932239532471,0.0693187990864051,0.0855323314666748,0.0159704964230971,"StandardScaler","SimpleImputer","OneHotEncoder","True","False","rbf","scale",1,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 1, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.832402234636871,0.820224719101124,0.797752808988764,0.808988764044944,0.859550561797753,0.823783817713891,0.0212730407035235,12
"13",12,0.233293342590332,0.0320041588272437,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","rbf","scale",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,39
"14",13,0.265211248397827,0.0147649834920791,0,0,"MinMaxScaler","KNNImputer","OrdinalEncoder","False","False","rbf","auto",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,40
"15",14,0.245469045639038,0.0157869635646112,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","True","True","rbf","auto",1,1,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 1, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,42
"16",15,0.792091274261475,0.0640968548601359,0.0765940189361572,0.0126851341931748,"StandardScaler","SimpleImputer","OneHotEncoder","False","True","rbf","auto",1,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.810055865921788,0.808988764044944,0.786516853932584,0.752808988764045,0.797752808988764,0.791224656330425,0.0210272284083527,16
"17",16,0.431864738464355,0.031947940054942,0.0908287048339844,0.027217372595611,"MinMaxScaler","KNNImputer","OneHotEncoder","False","False","rbf","scale",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.860335195530726,0.831460674157303,0.887640449438202,0.820224719101124,0.859550561797753,0.851842320005021,0.0237829189609898,4
"18",17,0.208550643920898,0.0167832724707721,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","False","False","rbf","auto",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,49
"19",18,0.200671148300171,0.024394497247281,0,0,"MinMaxScaler","SimpleImputer","OrdinalEncoder","False","True","rbf","auto",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,43
"20",19,0.264750289916992,0.0388161507226787,0,0,"StandardScaler","KNNImputer","OrdinalEncoder","True","False","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,44
"21",20,0.323968839645386,0.0696956256528764,0,0,"StandardScaler","SimpleImputer","OrdinalEncoder","False","False","rbf","scale",1,21,"SVC","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__shrinking': False, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",NA,NA,NA,NA,NA,NA,NA,45
"22",21,0.391369819641113,0.131823646198941,0.0708510875701904,0.0112865515842202,"MinMaxScaler","KNNImputer","OneHotEncoder","True","False","rbf","scale",1,11,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 11, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.854748603351955,0.831460674157303,0.882022471910112,0.820224719101124,0.853932584269663,0.848477810558032,0.0213641841027857,7
"23",22,0.806259775161743,0.178676274198222,0.0680956363677978,0.0253631422134072,"MinMaxScaler","SimpleImputer","OneHotEncoder","False","True","rbf","scale",1,41,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': False, 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__coef0': 1, 'model__C': 41, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.860335195530726,0.837078651685393,0.887640449438202,0.820224719101124,0.865168539325843,0.854089511016258,0.0233392903875065,1
"24",23,0.251491403579712,0.0618408297683832,0.0649166107177734,0.0277585178912497,"MinMaxScaler","SimpleImputer","OneHotEncoder","True","False","rbf","auto",1,21,"SVC","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__shrinking': True, 'model__probability': False, 'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__coef0': 1, 'model__C': 21, 'model': SVC(C=41, coef0=1, probability=True, shrinking=False)}",0.804469273743017,0.803370786516854,0.786516853932584,0.752808988764045,0.786516853932584,0.786736551377817,0.0186672079325663,17
