"","X","mean_fit_time","std_fit_time","mean_score_time","std_score_time","param_preprocessor__num__scaler","param_preprocessor__num__imputer","param_preprocessor__cat__encoder","param_model__solver","param_model__multi_class","param_model__C","param_model","params","split0_test_score","split1_test_score","split2_test_score","split3_test_score","split4_test_score","mean_test_score","std_test_score","rank_test_score"
"1",0,0.0945314407348633,0.0381669551131912,0.00934839248657227,0.00371791520481648,"MinMaxScaler","KNNImputer","OrdinalEncoder","newton-cg","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.833333333333333,0.966666666666667,0.933333333333333,0.9,1,0.926666666666667,0.0573488351136175,19
"2",1,0.0453644275665283,0.0047249239435078,0.0116601943969727,0.00475803705783175,"MinMaxScaler","SimpleImputer","OrdinalEncoder","saga","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,7
"3",2,0.0331803321838379,0.0107631799882278,0.0094637393951416,0.00487214567431065,"StandardScaler","SimpleImputer","OrdinalEncoder","sag","ovr",31,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 31, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,10
"4",3,0.0835363864898682,0.0183658135631231,0.0122884273529053,0.00469904272778724,"StandardScaler","SimpleImputer","OrdinalEncoder","newton-cg","multinomial",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"5",4,0.0362911224365234,0.00529633702280289,0.0109755516052246,0.0050874226101627,"StandardScaler","KNNImputer","OrdinalEncoder","saga","ovr",11,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 11, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,10
"6",5,0.0444611072540283,0.0112544451189452,0.00816221237182617,0.00341689100460796,"StandardScaler","KNNImputer","OrdinalEncoder","sag","ovr",46,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,10
"7",6,0.075760555267334,0.017701881000854,0.00927777290344238,0.00404752081877104,"StandardScaler","KNNImputer","OrdinalEncoder","newton-cg","ovr",36,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 36, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,10
"8",7,0.0447511196136475,0.012959227140329,0.00957012176513672,0.00255638362908914,"StandardScaler","KNNImputer","OrdinalEncoder","saga","ovr",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.933333333333333,0.966666666666667,0.933333333333333,0.9,1,0.946666666666667,0.0339934634239519,16
"9",8,0.092003059387207,0.0254055445685308,0.011968469619751,0.00466071296792096,"StandardScaler","SimpleImputer","OrdinalEncoder","newton-cg","ovr",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'ovr', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,10
"10",9,0.066572093963623,0.0148848960864291,0.0113356590270996,0.00869112593308107,"MinMaxScaler","SimpleImputer","OrdinalEncoder","newton-cg","multinomial",46,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 46, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,1,0.933333333333333,0.933333333333333,1,0.966666666666667,0.0298142396999972,7
"11",10,0.0325483798980713,0.014033281351361,0.00916733741760254,0.00240303339161535,"StandardScaler","KNNImputer","OrdinalEncoder","sag","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"12",11,0.0297805786132813,0.00798062862917945,0.00981917381286621,0.00269917568645029,"MinMaxScaler","KNNImputer","OrdinalEncoder","sag","ovr",1,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.766666666666667,0.933333333333333,0.866666666666667,0.866666666666667,1,0.886666666666667,0.077746025264604,20
"13",12,0.0428955554962158,0.0127476865111875,0.00889530181884766,0.00296088174239901,"MinMaxScaler","KNNImputer","OneHotEncoder","saga","ovr",41,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'ovr', 'model__C': 41, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,17
"14",13,0.0362959384918213,0.0089542359825958,0.00915236473083496,0.00473189496871466,"MinMaxScaler","SimpleImputer","OneHotEncoder","sag","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': MinMaxScaler(), 'preprocessor__num__imputer': SimpleImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.9,0.966666666666667,0.933333333333333,0.9,1,0.94,0.038873012632302,17
"15",14,0.0399850368499756,0.0146958552154824,0.00927462577819824,0.00236843767310685,"StandardScaler","KNNImputer","OneHotEncoder","sag","ovr",21,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'sag', 'model__multi_class': 'ovr', 'model__C': 21, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,0.966666666666667,0.933333333333333,0.9,1,0.953333333333333,0.0339934634239519,10
"16",15,0.0903487205505371,0.0269096448497446,0.012502384185791,0.00616094923868591,"StandardScaler","SimpleImputer","OrdinalEncoder","newton-cg","multinomial",41,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': SimpleImputer(strategy='most_frequent'), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 41, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"17",16,0.0647072315216064,0.0241691904447629,0.00734763145446777,0.00118654118400639,"StandardScaler","KNNImputer","OneHotEncoder","newton-cg","multinomial",26,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 26, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"18",17,0.0680302143096924,0.0202155576715074,0.0103426456451416,0.00281342500782185,"StandardScaler","KNNImputer","OneHotEncoder","lbfgs","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'lbfgs', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"19",18,0.0848328113555908,0.016563447862077,0.0127950668334961,0.0041058302301539,"StandardScaler","KNNImputer","OrdinalEncoder","newton-cg","multinomial",6,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(n_neighbors=10), 'preprocessor__cat__encoder': OrdinalEncoder(handle_unknown='use_encoded_value', unknown_value=999), 'model__solver': 'newton-cg', 'model__multi_class': 'multinomial', 'model__C': 6, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",1,1,0.933333333333333,0.933333333333333,1,0.973333333333333,0.032659863237109,1
"20",19,0.025375509262085,0.00793610316523831,0.0075984001159668,0.00108358673237264,"StandardScaler","KNNImputer","OneHotEncoder","saga","multinomial",1,"LogisticRegression","{'preprocessor__num__scaler': StandardScaler(), 'preprocessor__num__imputer': KNNImputer(), 'preprocessor__cat__encoder': OneHotEncoder(handle_unknown='ignore'), 'model__solver': 'saga', 'model__multi_class': 'multinomial', 'model__C': 1, 'model': LogisticRegression(C=21, multi_class='multinomial', solver='newton-cg')}",0.966666666666667,1,0.933333333333333,0.9,1,0.96,0.038873012632302,9
